Date,Product,Category,Region,Sales,Profit
21-01-2024,Sneakers,Fashion,West,5341,601
27-03-2024,T-shirt,Fashion,South,52347,9446
08-02-2024,Headphones,Electronics,South,16525,1787
03-05-2024,Tablet,Electronics,East,29073,5069
18-05-2024,Bag,Accessories,North,13876,1578
31-03-2024,Bag,Accessories,West,21101,1421
07-06-2024,Watch,Accessories,South,19901,3269
01-06-2024,Tablet,Electronics,South,36945,3471
20-05-2024,Tablet,Electronics,South,12298,1739
16-06-2024,T-shirt,Fashion,South,37683,3410
17-03-2024,Laptop,Electronics,East,24552,3717
24-05-2024,Laptop,Electronics,East,52245,6704
31-05-2024,T-shirt,Fashion,West,30838,5705
01-04-2024,Bag,Accessories,East,35916,1940
10-05-2024,Watch,Accessories,West,56853,7031
17-02-2024,Laptop,Electronics,North,54024,9997
11-05-2024,Bag,Accessories,East,51724,5173
14-01-2024,T-shirt,Fashion,South,34699,6622
21-03-2024,Smartwatch,Electronics,North,49686,8398
18-03-2024,Tablet,Electronics,North,52411,5203
14-05-2024,T-shirt,Fashion,West,53474,8975
03-03-2024,Bag,Accessories,East,32106,5607
21-03-2024,Watch,Accessories,North,13110,2032
05-01-2024,Bag,Accessories,South,21675,2858
09-04-2024,Laptop,Electronics,North,30884,5522
08-05-2024,Phone,Electronics,South,15499,1995
11-01-2024,T-shirt,Fashion,South,11062,1649
17-05-2024,T-shirt,Fashion,South,43992,3756
23-03-2024,Laptop,Electronics,North,58050,5100
30-05-2024,Bag,Accessories,South,21652,3879
27-05-2024,Smartwatch,Electronics,East,52320,9177
31-03-2024,Headphones,Electronics,East,2940,163
30-04-2024,Tablet,Electronics,North,13900,1994
04-06-2024,Sneakers,Fashion,East,38397,5394
09-06-2024,Shoes,Fashion,South,57560,5218
06-06-2024,Headphones,Electronics,North,5728,717
21-03-2024,Smartwatch,Electronics,South,49978,9777
19-02-2024,Headphones,Electronics,North,21106,3233
20-05-2024,Phone,Electronics,South,27874,3671
03-04-2024,Headphones,Electronics,North,13440,2634
06-03-2024,Laptop,Electronics,West,45508,3042
12-06-2024,Headphones,Electronics,South,39370,2942
19-04-2024,T-shirt,Fashion,East,4752,573
18-05-2024,Headphones,Electronics,West,54325,6524
07-02-2024,Watch,Accessories,East,59819,7995
06-05-2024,Camera,Electronics,South,59265,7791
15-02-2024,Smartwatch,Electronics,North,15800,1809
18-01-2024,Sneakers,Fashion,East,45211,5633
24-04-2024,Phone,Electronics,West,25190,2463
13-04-2024,Shoes,Fashion,South,48822,5936
14-02-2024,Bag,Accessories,West,58452,10266
17-06-2024,T-shirt,Fashion,West,39828,4888
24-03-2024,Belt,Accessories,West,3889,257
30-04-2024,T-shirt,Fashion,West,42262,4087
29-03-2024,Sneakers,Fashion,South,17835,1688
09-06-2024,Belt,Accessories,East,2587,414
21-05-2024,Sneakers,Fashion,South,42866,7545
21-02-2024,Smartwatch,Electronics,East,18567,2700
10-04-2024,Phone,Electronics,East,32850,3323
11-05-2024,Sneakers,Fashion,West,19890,2018
20-01-2024,Smartwatch,Electronics,North,51416,7655
28-03-2024,Headphones,Electronics,West,14541,1052
19-05-2024,Belt,Accessories,West,2741,295
03-02-2024,Belt,Accessories,West,53225,3332
21-06-2024,Belt,Accessories,West,3334,268
02-02-2024,T-shirt,Fashion,South,27857,2169
15-02-2024,Shoes,Fashion,North,50296,6083
18-05-2024,Phone,Electronics,West,43625,8434
11-05-2024,Smartwatch,Electronics,North,33875,2737
21-03-2024,Sneakers,Fashion,East,17344,2956
09-04-2024,Smartwatch,Electronics,South,35176,4240
15-02-2024,Camera,Electronics,South,6094,700
06-04-2024,Headphones,Electronics,North,8127,1619
11-05-2024,Camera,Electronics,East,27736,2822
11-04-2024,Tablet,Electronics,North,19495,975
21-02-2024,Phone,Electronics,South,40119,3402
25-05-2024,Belt,Accessories,West,45424,6031
02-06-2024,Headphones,Electronics,East,44857,4248
13-06-2024,Phone,Electronics,North,19625,2393
27-05-2024,Phone,Electronics,North,52097,8995
25-02-2024,Phone,Electronics,North,3941,326
21-02-2024,T-shirt,Fashion,West,23998,3356
26-05-2024,Laptop,Electronics,West,6654,1018
18-03-2024,Belt,Accessories,North,45784,8779
17-04-2024,Shoes,Fashion,West,12476,804
04-01-2024,Laptop,Electronics,North,34838,6340
04-03-2024,Phone,Electronics,West,50329,7134
03-01-2024,Phone,Electronics,South,25444,1464
18-04-2024,Laptop,Electronics,South,59421,7011
02-06-2024,T-shirt,Fashion,West,16511,1636
15-03-2024,Smartwatch,Electronics,East,49010,2818
13-05-2024,Watch,Accessories,South,49472,6214
19-04-2024,Laptop,Electronics,West,56967,4859
28-01-2024,Shoes,Fashion,West,54888,4431
05-02-2024,Headphones,Electronics,South,33496,5898
04-03-2024,Sneakers,Fashion,West,40727,5187
06-03-2024,Headphones,Electronics,North,32305,3266
10-02-2024,Bag,Accessories,North,56796,5332
08-06-2024,Phone,Electronics,East,17220,2942
10-04-2024,Shoes,Fashion,East,19908,3084
10-06-2024,Smartwatch,Electronics,South,57369,6592
14-01-2024,Bag,Accessories,East,2959,419
14-06-2024,Tablet,Electronics,South,35074,4882
22-05-2024,T-shirt,Fashion,North,19958,2789
23-03-2024,Shoes,Fashion,West,50697,6539
20-04-2024,Belt,Accessories,West,37730,3633
03-05-2024,Camera,Electronics,South,31446,3890
17-03-2024,Laptop,Electronics,South,7062,553
13-05-2024,Camera,Electronics,West,34962,6565
19-02-2024,Watch,Accessories,East,15530,1550
06-03-2024,Shoes,Fashion,South,7593,848
12-02-2024,Watch,Accessories,West,6988,545
09-06-2024,Shoes,Fashion,North,15879,1265
05-01-2024,Sneakers,Fashion,South,59265,9668
14-05-2024,Watch,Accessories,East,33351,2662
07-01-2024,Watch,Accessories,North,50872,8367
02-01-2024,Bag,Accessories,East,32630,4692
17-05-2024,Sneakers,Fashion,East,54753,9645
09-06-2024,Tablet,Electronics,East,17143,2408
18-03-2024,Watch,Accessories,South,7688,916
28-03-2024,Shoes,Fashion,North,23192,4521
09-01-2024,Tablet,Electronics,South,39339,7418
27-04-2024,Smartwatch,Electronics,South,2723,500
05-03-2024,Laptop,Electronics,South,56925,7405
22-04-2024,T-shirt,Fashion,North,23183,3180
10-01-2024,Bag,Accessories,West,57662,3198
04-03-2024,Laptop,Electronics,South,22525,1226
20-04-2024,Belt,Accessories,East,11486,733
07-02-2024,Camera,Electronics,South,40096,5892
16-03-2024,Camera,Electronics,East,13263,2399
16-04-2024,Tablet,Electronics,South,1101,180
03-03-2024,Shoes,Fashion,North,45388,3918
16-04-2024,Tablet,Electronics,West,55291,6071
02-03-2024,Laptop,Electronics,East,19381,3788
20-04-2024,Laptop,Electronics,South,20771,2892
07-02-2024,Camera,Electronics,West,37376,3996
25-05-2024,Belt,Accessories,East,5221,632
30-04-2024,Camera,Electronics,North,18134,1952
12-05-2024,Shoes,Fashion,West,58104,8869
26-05-2024,Sneakers,Fashion,North,42312,6200
07-02-2024,Watch,Accessories,North,11381,1843
07-06-2024,Belt,Accessories,South,18617,3338
12-04-2024,Bag,Accessories,East,55105,8325
29-03-2024,Tablet,Electronics,West,50406,2957
05-06-2024,Belt,Accessories,North,15912,1444
11-06-2024,Laptop,Electronics,West,2328,425
24-02-2024,Camera,Electronics,South,53446,10330
24-05-2024,Watch,Accessories,South,5717,1014
08-06-2024,Camera,Electronics,East,23013,2384
31-01-2024,Phone,Electronics,South,4656,491
17-03-2024,T-shirt,Fashion,South,2350,456
22-03-2024,Sneakers,Fashion,West,42424,6335
02-05-2024,Shoes,Fashion,East,52692,5085
31-01-2024,Laptop,Electronics,South,55905,5782
08-03-2024,Belt,Accessories,North,20200,2399
17-05-2024,Tablet,Electronics,North,32873,5451
21-06-2024,Headphones,Electronics,South,57997,7335
22-02-2024,Headphones,Electronics,East,17959,958
24-04-2024,Belt,Accessories,West,45421,7545
22-04-2024,Watch,Accessories,North,51158,4371
05-04-2024,Laptop,Electronics,North,45956,4652
16-02-2024,Tablet,Electronics,East,22142,4417
09-03-2024,Headphones,Electronics,West,33493,3492
14-05-2024,Tablet,Electronics,East,13499,2406
26-06-2024,Belt,Accessories,North,3641,390
17-02-2024,Smartwatch,Electronics,East,43232,7897
11-04-2024,Watch,Accessories,East,19824,3717
04-03-2024,Headphones,Electronics,North,13890,2063
13-02-2024,Smartwatch,Electronics,South,16807,1221
13-02-2024,Camera,Electronics,North,31388,2787
18-03-2024,T-shirt,Fashion,South,41749,4301
10-05-2024,Phone,Electronics,East,47958,3344
22-02-2024,Bag,Accessories,North,45909,2516
01-01-2024,Belt,Accessories,North,34082,6371
19-03-2024,Tablet,Electronics,West,21423,2003
19-04-2024,Smartwatch,Electronics,East,18938,2771
18-01-2024,Bag,Accessories,South,13450,863
15-03-2024,Camera,Electronics,South,30723,1683
19-05-2024,Tablet,Electronics,South,34387,5542
23-02-2024,Sneakers,Fashion,North,13579,1439
13-03-2024,Phone,Electronics,North,5745,302
29-02-2024,Phone,Electronics,East,42616,6717
12-04-2024,Tablet,Electronics,North,48544,6117
21-03-2024,T-shirt,Fashion,East,24680,4727
27-04-2024,Shoes,Fashion,West,59128,5601
25-04-2024,Belt,Accessories,South,2933,243
07-04-2024,Phone,Electronics,West,52638,6770
14-05-2024,Laptop,Electronics,South,50066,9675
21-03-2024,Laptop,Electronics,West,16010,2657
10-06-2024,Sneakers,Fashion,North,33930,2438
18-06-2024,Camera,Electronics,South,40356,3328
10-02-2024,Shoes,Fashion,North,41787,2390
19-02-2024,Headphones,Electronics,East,47252,3886
10-02-2024,Phone,Electronics,East,59807,7465
17-01-2024,Belt,Accessories,North,50446,6939
11-03-2024,Shoes,Fashion,East,45703,6164
08-06-2024,Bag,Accessories,East,12911,1694
23-01-2024,Sneakers,Fashion,South,10910,1019
04-06-2024,Smartwatch,Electronics,West,18458,2956
21-01-2024,Phone,Electronics,North,55007,9488
28-04-2024,Watch,Accessories,West,1598,86
10-03-2024,Camera,Electronics,South,32797,1696
22-05-2024,Shoes,Fashion,North,21534,3156
05-06-2024,Sneakers,Fashion,West,48878,7936
06-01-2024,Camera,Electronics,East,34864,5928
25-05-2024,Bag,Accessories,East,39194,2597
06-06-2024,Tablet,Electronics,East,46359,8497
25-06-2024,Smartwatch,Electronics,West,16319,968
10-06-2024,Shoes,Fashion,South,22282,1787
13-05-2024,Shoes,Fashion,South,9337,960
21-05-2024,Phone,Electronics,East,18332,3361
14-06-2024,Phone,Electronics,North,42241,7210
22-06-2024,Bag,Accessories,East,55940,8981
03-03-2024,Bag,Accessories,West,11985,963
17-03-2024,Camera,Electronics,West,50211,4054
26-04-2024,Camera,Electronics,North,13734,1431
14-01-2024,Tablet,Electronics,North,55210,6199
17-04-2024,Shoes,Fashion,West,50049,6747
17-03-2024,Bag,Accessories,West,52656,6597
06-06-2024,Smartwatch,Electronics,West,49158,4646
03-03-2024,T-shirt,Fashion,South,18330,2895
23-02-2024,Belt,Accessories,West,58862,6565
10-06-2024,Laptop,Electronics,North,34329,6285
12-04-2024,Bag,Accessories,West,25471,2645
28-05-2024,Smartwatch,Electronics,West,32798,3530
17-01-2024,Tablet,Electronics,East,41279,7204
16-04-2024,Tablet,Electronics,South,5871,1018
11-06-2024,Belt,Accessories,East,57483,7900
28-03-2024,Smartwatch,Electronics,South,18386,1032
13-04-2024,T-shirt,Fashion,South,2038,198
27-01-2024,Watch,Accessories,West,46261,2709
03-03-2024,Smartwatch,Electronics,East,19537,3439
14-04-2024,Camera,Electronics,East,32453,4024
06-06-2024,Watch,Accessories,North,33034,3328
17-01-2024,Phone,Electronics,South,20374,2605
22-01-2024,Camera,Electronics,North,48473,5419
10-05-2024,Camera,Electronics,South,58531,6863
28-02-2024,Smartwatch,Electronics,North,37933,3621
19-06-2024,Watch,Accessories,South,42797,3017
02-01-2024,Watch,Accessories,North,29193,1829
02-01-2024,Phone,Electronics,East,19497,2412
07-04-2024,Smartwatch,Electronics,South,50886,6612
07-02-2024,T-shirt,Fashion,East,59104,8660
29-06-2024,Phone,Electronics,North,11525,2103
14-06-2024,Bag,Accessories,West,3418,612
07-06-2024,Watch,Accessories,North,44662,7539
07-04-2024,Watch,Accessories,West,54457,4633
21-02-2024,Headphones,Electronics,West,17245,2648
31-01-2024,T-shirt,Fashion,East,34967,4253
18-01-2024,T-shirt,Fashion,North,54237,3141
16-05-2024,Smartwatch,Electronics,South,22920,3590
26-05-2024,Tablet,Electronics,East,33316,6265
29-04-2024,T-shirt,Fashion,South,29047,3187
08-05-2024,Phone,Electronics,North,34282,2474
18-03-2024,Bag,Accessories,North,37799,3511
21-04-2024,Watch,Accessories,East,25442,5001
23-01-2024,T-shirt,Fashion,West,3732,328
13-04-2024,Camera,Electronics,West,44764,3028
20-02-2024,Shoes,Fashion,South,4590,641
03-02-2024,Phone,Electronics,North,39283,2232
07-03-2024,Phone,Electronics,West,51308,8044
18-02-2024,Shoes,Fashion,North,16219,1794
20-03-2024,Laptop,Electronics,West,22026,3017
27-04-2024,Laptop,Electronics,North,56133,3616
23-04-2024,T-shirt,Fashion,South,50016,4463
10-06-2024,Belt,Accessories,East,33593,6668
07-03-2024,Belt,Accessories,North,58349,10604
10-02-2024,Sneakers,Fashion,South,23179,1366
03-03-2024,T-shirt,Fashion,West,23797,1911
24-04-2024,Phone,Electronics,North,56100,10155
05-05-2024,Headphones,Electronics,West,44354,5578
02-05-2024,T-shirt,Fashion,West,33558,2870
04-05-2024,Headphones,Electronics,East,3594,562
13-05-2024,Bag,Accessories,North,56841,6091
04-05-2024,Shoes,Fashion,East,52294,4178
01-03-2024,Laptop,Electronics,East,12226,2261
15-02-2024,Phone,Electronics,North,1487,187
02-02-2024,Shoes,Fashion,West,22284,2360
18-04-2024,Laptop,Electronics,East,49886,8266
27-05-2024,Phone,Electronics,North,34229,6678
27-02-2024,Belt,Accessories,North,54420,6512
20-03-2024,T-shirt,Fashion,South,41279,4688
20-01-2024,Headphones,Electronics,South,30802,2119
12-03-2024,Tablet,Electronics,South,22108,2736
28-04-2024,Shoes,Fashion,South,34782,3185
09-02-2024,Shoes,Fashion,East,23878,1991
23-04-2024,Headphones,Electronics,North,26221,1350
23-03-2024,Phone,Electronics,South,11431,1234
09-03-2024,Camera,Electronics,West,49825,4159
24-06-2024,Camera,Electronics,South,48806,7999
10-05-2024,Laptop,Electronics,South,40803,2467
05-01-2024,Laptop,Electronics,North,59544,3559
04-01-2024,Phone,Electronics,West,23329,4361
03-04-2024,Watch,Accessories,East,38815,2919
29-02-2024,Tablet,Electronics,North,49025,3989
05-06-2024,Tablet,Electronics,South,46728,4350
07-01-2024,Headphones,Electronics,North,10358,1271
02-01-2024,Laptop,Electronics,East,29801,1527
31-03-2024,Sneakers,Fashion,North,28276,2700
21-04-2024,Phone,Electronics,South,53107,5099
30-05-2024,Watch,Accessories,East,54719,9725
06-02-2024,T-shirt,Fashion,East,7235,797
11-05-2024,Sneakers,Fashion,South,27901,3948
12-01-2024,Sneakers,Fashion,South,32428,5981
11-05-2024,Tablet,Electronics,South,46592,4002
29-06-2024,Smartwatch,Electronics,East,36329,6042
21-01-2024,Tablet,Electronics,North,5865,1008
04-02-2024,Shoes,Fashion,West,48918,5238
16-04-2024,Bag,Accessories,North,59126,3976
20-06-2024,Smartwatch,Electronics,North,13964,790
29-04-2024,Watch,Accessories,North,25950,4750
10-06-2024,Watch,Accessories,South,1219,95
11-06-2024,Phone,Electronics,West,45142,3372
16-03-2024,Shoes,Fashion,East,51956,8001
07-03-2024,Phone,Electronics,East,23115,2579
13-06-2024,Belt,Accessories,North,24518,1841
28-04-2024,Phone,Electronics,East,12094,2313
23-04-2024,Headphones,Electronics,North,18159,2298
20-03-2024,Headphones,Electronics,West,28831,4195
19-03-2024,Bag,Accessories,South,40089,4801
12-05-2024,Headphones,Electronics,North,19576,1055
29-06-2024,Smartwatch,Electronics,South,29901,5954
12-02-2024,Camera,Electronics,South,4729,378
28-05-2024,Camera,Electronics,West,48443,3706
11-01-2024,Laptop,Electronics,West,18744,1171
27-04-2024,Watch,Accessories,East,14131,907
17-03-2024,Bag,Accessories,North,26763,5066
24-05-2024,Shoes,Fashion,East,29535,5767
08-04-2024,Phone,Electronics,East,25488,2806
05-06-2024,Smartwatch,Electronics,North,26160,3165
16-01-2024,Tablet,Electronics,South,36107,5192
24-01-2024,Phone,Electronics,South,49334,3142
17-04-2024,Belt,Accessories,South,26717,1949
28-02-2024,Tablet,Electronics,South,35351,2690
01-03-2024,Tablet,Electronics,West,24928,3770
19-05-2024,Tablet,Electronics,North,2446,447
09-03-2024,Shoes,Fashion,East,15914,1265
07-02-2024,Phone,Electronics,North,15848,2268
13-02-2024,Belt,Accessories,South,40134,6674
13-02-2024,Shoes,Fashion,East,59947,4868
28-01-2024,Camera,Electronics,West,40518,4266
21-05-2024,T-shirt,Fashion,North,9356,562
29-02-2024,T-shirt,Fashion,East,40115,4127
25-04-2024,Bag,Accessories,West,41625,5791
23-06-2024,Laptop,Electronics,South,12905,2537
26-04-2024,Laptop,Electronics,North,52294,6760
28-06-2024,Sneakers,Fashion,South,9117,1227
25-02-2024,Laptop,Electronics,East,58873,9524
31-01-2024,Bag,Accessories,North,39143,6588
17-03-2024,Tablet,Electronics,South,17649,1853
24-06-2024,Watch,Accessories,North,48957,7032
06-05-2024,Sneakers,Fashion,South,25340,1663
09-06-2024,T-shirt,Fashion,South,58064,9194
29-01-2024,Tablet,Electronics,North,44148,8737
12-03-2024,Laptop,Electronics,West,53987,7520
20-05-2024,Belt,Accessories,North,27047,2269
31-01-2024,Tablet,Electronics,East,31331,5145
03-04-2024,Tablet,Electronics,North,6191,799
12-03-2024,Tablet,Electronics,North,25816,2734
10-01-2024,Camera,Electronics,West,7120,963
08-05-2024,Tablet,Electronics,South,2406,274
27-02-2024,Bag,Accessories,West,42044,2331
02-06-2024,Smartwatch,Electronics,South,45301,2635
11-02-2024,Tablet,Electronics,West,59680,7927
02-03-2024,Camera,Electronics,South,52988,4846
19-02-2024,Watch,Accessories,West,17062,3112
01-03-2024,Smartwatch,Electronics,West,20457,2374
11-04-2024,Laptop,Electronics,East,25560,2548
28-01-2024,Camera,Electronics,East,57148,9794
28-01-2024,T-shirt,Fashion,East,37085,3070
02-01-2024,Phone,Electronics,West,22049,1466
12-05-2024,Shoes,Fashion,West,46718,5438
31-03-2024,Bag,Accessories,West,9967,1759
17-03-2024,Phone,Electronics,North,47561,5775
20-03-2024,T-shirt,Fashion,South,30874,5757
01-05-2024,Smartwatch,Electronics,West,53887,10182
08-05-2024,Smartwatch,Electronics,South,43635,2528
22-05-2024,Belt,Accessories,North,46799,3970
31-03-2024,Headphones,Electronics,East,59883,7987
02-05-2024,Shoes,Fashion,South,12340,2036
15-04-2024,T-shirt,Fashion,East,37589,6489
04-03-2024,T-shirt,Fashion,South,29433,5883
04-06-2024,Tablet,Electronics,North,39462,2487
28-03-2024,Camera,Electronics,North,4126,767
21-05-2024,Phone,Electronics,West,52980,10383
07-04-2024,Shoes,Fashion,South,10833,592
16-05-2024,Sneakers,Fashion,West,20137,1421
01-04-2024,Smartwatch,Electronics,West,31631,5966
16-06-2024,Phone,Electronics,West,34303,3113
04-05-2024,Laptop,Electronics,South,14367,2588
28-01-2024,Camera,Electronics,West,52232,5577
28-03-2024,Bag,Accessories,South,3951,459
30-03-2024,Sneakers,Fashion,North,51800,9755
24-05-2024,Laptop,Electronics,West,57091,6410
23-01-2024,Shoes,Fashion,South,41780,5504
10-05-2024,Laptop,Electronics,West,37804,3561
17-05-2024,Camera,Electronics,North,23155,1537
13-02-2024,T-shirt,Fashion,East,15495,1461
26-04-2024,Shoes,Fashion,West,28570,2431
18-02-2024,Belt,Accessories,East,46542,9031
24-01-2024,Sneakers,Fashion,South,34199,2442
09-05-2024,Headphones,Electronics,South,14076,1876
04-04-2024,Phone,Electronics,North,55149,9647
04-06-2024,Camera,Electronics,South,39997,4807
15-01-2024,Bag,Accessories,East,48571,6329
17-05-2024,Shoes,Fashion,West,49635,9695
09-05-2024,T-shirt,Fashion,South,5014,994
27-05-2024,Shoes,Fashion,West,59885,6570
08-06-2024,Belt,Accessories,East,9319,1788
26-03-2024,Watch,Accessories,South,29908,2202
22-01-2024,Belt,Accessories,North,28695,1787
27-06-2024,Sneakers,Fashion,West,14170,2388
14-06-2024,Laptop,Electronics,West,20086,3933
14-06-2024,Camera,Electronics,North,6289,1086
10-06-2024,Belt,Accessories,West,18962,1959
25-03-2024,Bag,Accessories,North,35041,4857
06-06-2024,Camera,Electronics,East,21427,3269
04-06-2024,Laptop,Electronics,West,3154,508
24-05-2024,Bag,Accessories,East,59623,8094
02-01-2024,Watch,Accessories,South,42048,5252
27-05-2024,Camera,Electronics,West,51213,5577
11-04-2024,T-shirt,Fashion,South,56283,7300
23-04-2024,T-shirt,Fashion,South,28390,4790
01-03-2024,Phone,Electronics,West,26850,2783
21-02-2024,Headphones,Electronics,West,52742,4074
05-01-2024,Shoes,Fashion,South,22242,1421
22-02-2024,Belt,Accessories,South,16829,1580
